Judul;Pendapatan;Prediksi;Tahun
Snow White and the Huntsman;396.592.829;155.332.381;2012
Mamma Mia! Here We Go Again;395.044.706;120.634.935;2018
Solo: A Star Wars Story;392.924.807;213.767.512;2018
The Wolf of Wall Street;392.000.694;116.900.694;2013
Back to the Future;391.341.971;211.159.762;1985
Superman Returns;391.081.192;200.081.192;2006
Robin Hood: Prince of Thieves;390.493.908;165.493.908;1991
Raiders of the Lost Ark;390.133.212;248.159.971;1981
Independence Day: Resurgence;389.681.935;103.144.286;2016
Live Free or Die Hard;388.156.011;134.529.403;2007
Monster Hunt;387.053.506;32.766;2015
Godzilla: King of the Monsters;386.600.138;110.500.138;2019
Home;386.041.607;177.397.510;2015
Star Trek;385.680.446;257.730.019;2009
Happy Feet;384.335.608;198.000.317;2006
Cars 3;383.930.656;152.901.115;2017
Ice Age;383.257.136;176.387.405;2002
Fifty Shades Darker;381.545.846;114.581.250;2017
Monsters vs. Aliens;381.509.870;198.351.526;2009
Godzilla;379.014.294;136.314.294;1998
True Lies;378.882.411;146.282.411;1994
Slumdog Millionaire;378.021.385;141.319.928;2008
Taken 2;376.141.306;139.854.287;2012
G.I. Joe: Retaliation;375.740.705;122.523.060;2013
Spider-Man: Into the Spider-Verse;375.540.831;190.241.310;2018
Mad Max: Fury Road;375.209.362;154.058.340;2015
Shark Tale;374.583.879;160.861.908;2004
Once Upon a Time... in Hollywood;374.343.626;142.502.728;2019
What Women Want;374.111.707;182.811.707;2000
The Adventures of Tintin;373.993.951;77.591.831;2011
Penguins of Madagascar;373.515.621;83.850.911;2014
Batman Begins;373.462.327;206.852.432;2005
X-Men Origins: Wolverine;373.062.864;179.883.157;2009
The Golden Compass;372.234.864;70.107.728;2007
Fifty Shades Freed;371.985.018;100.407.760;2018
Hitch;371.594.210;179.495.555;2005
Terminator Salvation;371.353.001;125.322.469;2009
Captain America: The First Avenger;370.569.774;176.654.505;2011
Edge of Tomorrow;370.541.256;100.206.256;2014
There's Something About Mary;369.884.651;176.484.651;1998
Gone Girl;369.330.363;167.767.189;2014
The Fugitive;368.875.760;183.875.760;1993
Jurassic Park III;368.780.809;181.171.875;2001
My Big Fat Greek Wedding;368.744.044;241.438.208;2002
1917;368.027.644;159.227.644;2019
Die Hard with a Vengeance;366.236.538;100.012.499;1995
Shazam!;365.971.656;140.371.656;2019
The Nun;365.550.119;117.450.119;2018
Alvin and the Chipmunks;365.352.546;217.326.974;2007
Home Alone 2: Lost in New York;365.154.932;173.585.516;1992
Notting Hill;363.944.522;116.089.678;1999
A Bug's Life;363.258.859;162.798.565;1998
Night at the Museum: Secret of the Tomb;363.204.635;113.746.621;2014
Ocean's Twelve;362.744.280;125.544.280;2004
Planet of the Apes;362.211.740;180.011.740;2001
The Hangover Part III;362.000.072;112.200.072;2013
The World Is Not Enough;361.832.400;126.943.684;1999
Monster Hunt 2;361.682.618;706.153;2018
Fast & Furious;360.364.265;155.064.265;2009
Noah;359.200.044;101.200.044;2014
The Karate Kid;359.126.022;176.591.618;2010
Hotel Transylvania;358.375.603;148.313.048;2011
Minority Report;358.372.926;132.072.926;2002
Your Name.;357.986.087;5.017.246;2016
Top Gun;356.830.601;179.800.601;1986
The Legend of Tarzan;356.700.357;126.643.061;2016
American Beauty;356.296.601;130.096.601;1999
Apollo 13;355.237.933;173.837.933;1995
Rain Man;354.825.435;172.825.435;1988
The Great Gatsby;353.641.895;144.840.419;2013
Dumbo;353.284.621;114.766.307;2019
I. Robot;353.133.898;144.801.023;2004
Basic Instinct;352.927.224;117.727.224;1992
Murder on the Orient Express;352.789.811;102.826.543;2017
X-Men: First Class;352.616.690;146.408.305;2011
The Angry Birds Movie;352.333.929;107.509.366;2016
GoldenEye;352.194.034;106.429.941;1995
Catch Me If You Can;352.114.312;164.615.351;2002
Now You See Me;351.723.989;117.723.989;2013
Hannibal;351.692.268;165.092.268;2001
The Mask;351.583.407;119.938.730;1994
Peter Rabbit;351.266.433;115.253.424;2018
Speed;350.448.145;121.248.145;1994
Dinosaur;349.822.765;137.748.063;2000
Mary Poppins Returns;349.537.494;171.958.438;2018
Deep Impact;349.464.664;140.464.664;1998
The Lorax;348.840.316;214.030.500;2012
The Maze Runner;348.319.861;102.427.862;2014
Spirited Away;347.742.810;13.750.644;2001
The Smurfs 2;347.545.360;71.017.784;2013
National Treasure;347.512.318;173.008.894;2004
Rush Hour 2;347.325.802;226.164.286;2001
Trolls;346.864.462;153.707.064;2016
xXx: Return of Xander Cage;346.118.277;44.898.413;2017
Pocahontas;346.079.773;141.579.773;1995
How the Grinch Stole Christmas;345.141.403;260.044.825;2000
Star Trek Beyond;343.471.816;158.848.340;2016
Alvin and the Chipmunks: Chipwrecked;342.695.435;133.110.742;2011
Wanted;342.463.063;134.508.551;2008
The Flintstones;341.631.208;130.531.208;1994
A Quiet Place;340.939.361;188.024.361;2018
Enchanted;340.487.652;127.807.262;2007
Over the Hedge;339.795.890;155.019.340;2006
Back to the Future Part II;338.936.043;119.000.002;1989
300: Rise of an Empire;337.580.051;106.580.051;2014
Batman Forever;336.567.531;184.069.126;1995
Prince of Persia: The Sands of Time;336.365.676;90.759.676;2009
The Curious Case of Benjamin Button;335.802.786;127.509.326;2008
Journey 2: The Mysterious Island;335.260.290;103.860.290;2012
The Rock;335.062.621;134.069.511;1996
The Great Wall;334.933.831;45.540.830;2016
Now You See Me 2;334.897.606;65.075.540;2016
Fantastic Four;333.535.934;154.696.080;2005
Indiana Jones and the Temple of Doom;333.107.271;179.870.271;1984
Tomorrow Never Dies;333.011.068;125.304.276;1997
The Good Dinosaur;332.207.671;123.087.120;2015
22 Jump Street;331.333.876;191.719.337;2014
Meet the Parents;330.444.045;166.244.045;2000
Who Framed Roger Rabbit;329.803.958;156.452.370;1988
Black Swan;329.398.046;106.954.678;2010
The Perfect Storm;328.718.434;182.618.434;2000
Crocodile Dundee;328.203.506;174.803.506;1986
Green Book;327.909.440;85.080.171;2018
The Devil Wears Prada;327.893.740;124.740.460;2006
Se7en;327.333.559;100.125.643;1995
John Wick: Chapter 3 - Parabellum;326.709.727;171.015.687;2019
Taken 3;326.479.141;89.256.424;2015
The Hunchback of Notre Dame;325.338.851;100.138.851;1996
A Christmas Carol;325.286.646;137.855.863;2009
The SpongeBob Movie: Sponge Out of Water;325.186.032;162.994.032;2015
Schindler's List;322.287.794;96.898.818;1993
Megamind;321.885.765;148.415.853;2010
Lethal Weapon 3;321.731.527;144.731.527;1992
The Ugly Truth;321.682.600;88.915.214;2009
Robin Hood;321.669.741;105.269.730;2010
Inglourious Basterds;321.455.689;120.540.719;2009
101 Dalmatians;320.689.294;136.189.294;1996
The Conjuring 2;320.392.818;102.470.008;2016
Fatal Attraction;320.145.693;156.645.693;1987
The Last Airbender;319.713.881;131.772.187;2010
The Conjuring;319.494.638;137.400.141;2013
The Proposal;317.375.031;163.958.031;2009
A Beautiful Mind;316.791.257;170.742.341;2001
Beverly Hills Cop;316.360.478;234.760.478;1984
Air Force One;315.156.409;172.956.409;1997
The Expendables 2;314.975.955;85.028.192;2012
Chicken Little;314.432.837;135.386.665;2005
As Good as It Gets;314.178.011;148.478.011;1997
The Polar Express;313.500.433;187.224.490;2004
Maze Runner: The Scorch Trials;312.296.056;81.697.192;2015
Resident Evil: The Final Chapter;312.242.626;26.830.068;2016
Austin Powers: The Spy Who Shagged Me;312.016.928;206.040.086;1999
The Lego Batman Movie;311.950.384;175.750.384;2017
Ocean's Thirteen;311.312.624;117.154.724;2007
Little Fockers;310.650.585;148.438.600;2010
Bolt;309.979.994;114.053.579;2008
Ransom;309.492.681;136.492.681;1996
Runaway Bride;309.460.292;152.257.509;1999
Knives Out;309.232.797;165.363.234;2019
The Blind Side;309.208.309;255.959.475;2009
The Ex-File 3: The Return of The Exes;307.592.427;838.959;2017
The Fault in Our Stars;307.166.834;124.872.350;2014
The Pursuit of Happyness;307.127.625;163.566.459;2006
Rise of the Guardians;306.941.670;103.412.758;2012
Close Encounters of the Third Kind;306.898.466;135.189.114;1977
Chicago;306.776.732;170.687.518;2002
Sonic the Hedgehog;306.766.470;146.066.470;2020
Annabelle: Creation;306.515.884;102.092.201;2017
Wonder;305.937.718;132.422.809;2017
Skyscraper;304.868.961;68.420.120;2018
A Good Day to Die Hard;304.654.182;67.349.198;2013
Mulan;304.320.254;120.620.254;1998
Dangal;303.723.636;12.391.761;2016
Passengers;303.144.152;100.014.699;2016
Battleship;303.025.485;65.422.625;2012
Liar Liar;302.710.615;181.410.615;1997
G.I. Joe: The Rise of Cobra;302.469.017;150.201.498;2009
Wrath of the Titans;301.970.083;83.670.083;2012
Fantastic 4: Rise of the Silver Surfer;301.913.131;131.921.738;2007
Hook;300.854.823;119.654.823;1991
Rocky IV;300.473.716;127.873.716;1985
Superman;300.451.603;134.451.603;1978
Rambo: First Blood Part II;300.400.432;150.415.432;1985
Resident Evil: Afterlife;300.228.084;60.128.566;2010
Van Helsing;300.157.638;120.177.084;2004
Stuart Little;300.135.367;140.035.367;1999
Beverly Hills Cop II;299.965.036;153.665.036;1987
Alice Through the Looking Glass;299.457.024;77.041.381;2016
My Best Friend's Wedding;299.288.605;127.120.029;1997
Real Steel;299.268.508;85.468.508;2011
Horton Hears a Who!;298.572.799;154.529.439;2008
Ocean's 8;297.718.711;140.218.711;2018
Insurgent;297.002.527;130.179.072;2015
Look Who's Talking;296.999.813;140.088.813;1989
